Date,Title,Topic_CID,Speaker,Text,Seq,Topic_Seq,Speeches_CID,Sitting_Seq
2023-07-06,Cost of Running Day Activity Centre Services for Adults with Disabilities,014-002-095-108-001,Ms Denise Phua Lay Peng,asked the Minister for Social and Family Development (a) what is the current per capita cost of running Day Activity Centre services for adults with disabilities with moderate to high needs; and (b) what is the current per capita grants provided by the Government for such Day Activity Centre services.,1,1,014-002-095-108-001-001,1
2023-07-06,Cost of Running Day Activity Centre Services for Adults with Disabilities,014-002-095-108-001,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),"  Mdm Deputy Speaker, the per capita cost of running Day Activity Centre (DAC) services varies depending on each centre’s programming and operational considerations.",1,2,014-002-095-108-001-002,2
2023-07-06,Cost of Running Day Activity Centre Services for Adults with Disabilities,014-002-095-108-001,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),"Government funding to DACs is tiered according to the care needs of clients. Government funding to DACs is also means-tested, depending on each client’s income level. In FY2022, the average amount of Government grants provided to DACs was about $14,000 per client.",2,3,014-002-095-108-001-003,3
2023-07-06,Cost of Running Day Activity Centre Services for Adults with Disabilities,014-002-095-108-001,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),"Besides funding from the Government, DACs also receive funding from the community, such as through Tote Board and their own fund-raising.",3,4,014-002-095-108-001-004,4
2023-07-06,Cost of Running Day Activity Centre Services for Adults with Disabilities,014-002-095-108-001,Mdm Deputy Speaker,  Ms Denise Phua.,1,5,014-002-095-108-001-005,5
2023-07-06,Cost of Running Day Activity Centre Services for Adults with Disabilities,014-002-095-108-001,Ms Denise Phua Lay Peng (Jalan Besar),"  I thank the Senior Parliamentary Secretary for always helping this sector. There are issues on the ground. A lot of the charities that are running services for the moderate to high needs individuals with disabilities are facing a lot of challenges on the ground, based on this current funding model. I think the Ministry of Social and Family Development (MSF) has been trying to help, but the challenges remain.",1,6,014-002-095-108-001-006,6
2023-07-06,Cost of Running Day Activity Centre Services for Adults with Disabilities,014-002-095-108-001,Ms Denise Phua Lay Peng (Jalan Besar),"May I request the Ministry to convene a workgroup that comprises MSF, the Ministry of Finance (MOF) and the disability agencies, to deeply analyse what is the issue, what is the beef all about and why is there so much noise, worries and challenges? And then, to identify what are some alternate, a bit more innovative financing models for Day Activity Centres for disabled adults with moderate to high support needs.",2,7,014-002-095-108-001-007,7
2023-07-06,Cost of Running Day Activity Centre Services for Adults with Disabilities,014-002-095-108-001,Ms Denise Phua Lay Peng (Jalan Besar),"Debating at a very general level and asking Parliamentary Questions (PQs) and replying to PQs at this level is not going to solve matters. The reasons are the costs are indeed high. Although the average grant is about $14,000, some of the costs can go up to about $30,000 per year.",3,8,014-002-095-108-001-008,8
2023-07-06,Cost of Running Day Activity Centre Services for Adults with Disabilities,014-002-095-108-001,Ms Denise Phua Lay Peng (Jalan Besar),"There are also issues like fee cap and you cannot charge that much sometimes. The funding is completely means-tested and therefore, average and higher-income households are often discouraged from using the services. They will then keep their children at home and that is not always the best quality of life. And later on, there will be more costs.",4,9,014-002-095-108-001-009,9
2023-07-06,Cost of Running Day Activity Centre Services for Adults with Disabilities,014-002-095-108-001,Ms Denise Phua Lay Peng (Jalan Besar),"So, the Ministry should really study alternate models such as providing a universal base subsidy, with additional means-testing subsidy. This is what, I think, Minister Vivian Balakrishnan, when he was MSF Minister actually looked at. So, there are some models that can be considered. If we do not solve this problem, then, cohorts of graduates from the special schools with mid to high needs are really going to suffer. So, I hope that Ministry will look into this deeply with those of us who really want to solve this issue.",5,10,014-002-095-108-001-010,10
2023-07-06,Cost of Running Day Activity Centre Services for Adults with Disabilities,014-002-095-108-001,Mr Eric Chua,"  Mdm Deputy Speaker, I share the passion of the Member and I really applaud the Member, as we can see, from her very spirited delivery of her supplementary questions. I share that passion as well in doing more for the community, especially for those with moderate to severe needs. I totally agree with her that staying at home, not consuming any of these services, is not going to be the way to go.",1,11,014-002-095-108-001-011,11
2023-07-06,Cost of Running Day Activity Centre Services for Adults with Disabilities,014-002-095-108-001,Mr Eric Chua,"She mentioned the point about fee caps. We introduced that in October 2021. That helped about half of the community with some of the fees. The fee cap is anywhere between $20 and $710. Of course, there is much more that can be done. This year, we will be piloting the Enabling Services Hub. We will be launching that by the second half of this year. We will provide learning, social activities as well as respite care at locations that are closer to where persons with disabilities, including, those with moderate needs, as well as their caregivers, live.",2,12,014-002-095-108-001-012,12
2023-07-06,Cost of Running Day Activity Centre Services for Adults with Disabilities,014-002-095-108-001,Mr Eric Chua,"We take her points on board and we do look forward to that continued engagement and exploration, with the community, with the Member herself, to see what better we can do for the community.",3,13,014-002-095-108-001-013,13
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Ms Jessica Tan Soon Neo –,None,1,1,014-002-095-108-002-001,14
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Ms Jessica Tan Soon Neo –,2 To ask the Minister for Communications and Information (a) whether he can provide an update on the SPH Media Trust committee’s review of overstated circulation numbers of its publications; and (b) what are the measures that SPH Media Trust and the Government will take to prevent similar incidents in the future.,2,2,014-002-095-108-002-002,15
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Ms Tin Pei Ling,asked the Minister for Communications and Information in respect of the SPH Media Holdings Board’s Audit and Risk Committee findings published on 16 June 2023 (a) what is the timeline for SPH Media Group to implement the recommendations; (b) whether the Ministry will impose additional obligations on the group to tighten accountability; and (c) whether all the overstated circulation figures and consequent financial impact have been corrected.,1,3,014-002-095-108-002-003,16
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mr Murali Pillai,"asked the Minister for Communications and Information with respect to SPH Media Group’s filing of a Police report over overstated circulation figures of SPH news publications after potential offences were flagged in an investigation by its audit committee (a) whether the Police has classified the police report as one that discloses offences for investigation; (b) if so, what are the offences; and (c) how will the Police treat the key investigative findings by SPH Media Group’s audit committee, which include conclusions on the state of knowledge on the part of various SPH officers in relation to the inflated circulation numbers.",1,4,014-002-095-108-002-004,17
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mr Murali Pillai,asked the Minister for Communications and Information in respect of the investigation report issued by SPH Media Group’s audit and risk committee on overstated circulation numbers of SPH news publications (a) whether the steps that have been recommended to be undertaken by SPH Media Group in the report are assessed to be adequate; (b) whether regulatory action is being considered; and (c) whether any new regulation is being contemplated to tighten reporting standards by media groups on circulation numbers and other key information to ensure accountability for the same.,1,5,014-002-095-108-002-005,18
2023-07-06,Actions and Lessons Resulting from SPH Media Trust's Internal Review of Overstated Circulation Numbers,014-002-095-108-002,Mr Zhulkarnain Abdul Rahim,"asked the Minister for Communications and Information in view of the findings and recommendations in the recent report by the Audit and Risk Committee of SPH Media Group, what are the lessons and safeguards that the Ministry will take on funding to SPH Media or other entities in the future.",1,6,014-002-095-108-002-006,19
